id;ut
534742;WOS:000439259001148
901447;WOS:000439259001038
942262;WOS:000439259001038
1011032;WOS:000439259001038
1011033;WOS:000439259001038
942845;WOS:000439259001038
946611;WOS:000439259001038
959222;WOS:000439259001038
544526;WOS:000439259001003
544470;WOS:000439259001003
549939;WOS:000439259001003
549938;WOS:000439259001003
547403;WOS:000439259001003
549942;WOS:000439259001003
549943;WOS:000439259001003
549940;WOS:000439259001003
549941;WOS:000439259001003
547403;WOS:000439259000413
549938;WOS:000439259000413
549939;WOS:000439259000413
549942;WOS:000439259000413
549940;WOS:000439259000413
549941;WOS:000439259000413
549943;WOS:000439259000413
544470;WOS:000439259000413
544526;WOS:000439259000413
1022860;WOS:000439259000385
1022861;WOS:000439259000385
1022862;WOS:000439259000385
1022863;WOS:000439259000385
462870;WOS:000439259000346
462869;WOS:000439259000346
462871;WOS:000439259000346
344452;WOS:000439259000346
504277;WOS:000439259000344
503975;WOS:000439259000344
344452;WOS:000439259000337
462871;WOS:000439259000337
462870;WOS:000439259000337
462869;WOS:000439259000337
544455;WOS:000439259000331
544453;WOS:000439259000331
544456;WOS:000439259000331
544454;WOS:000439259000331
544470;WOS:000439259000315
544526;WOS:000439259000315
549938;WOS:000439259000315
547403;WOS:000439259000315
549941;WOS:000439259000315
549942;WOS:000439259000315
549940;WOS:000439259000315
462864;WOS:000439259000210
462865;WOS:000439259000210
462866;WOS:000439259000210
462867;WOS:000439259000210
462868;WOS:000439259000210
394361;WOS:000439259000210
412811;WOS:000439259000210
262814;WOS:000439259000210
70518;WOS:000439259000210
73336;WOS:000439259000210
73309;WOS:000439259000210
73314;WOS:000439259000210
1086469;WOS:000439259000098
1086468;WOS:000439259000098
1086466;WOS:000439259000098
1076638;WOS:000439259000098
1035345;WOS:000439259000098
1038763;WOS:000439259000098
1055402;WOS:000439259000098
982869;WOS:000439259000085
981686;WOS:000439259000085
1011027;WOS:000439259000085
1011029;WOS:000439259000085
1011026;WOS:000439259000085
1011025;WOS:000439259000085
1011031;WOS:000439259000085
1011030;WOS:000439259000085
1011028;WOS:000439259000085
68585;WOS:000439259000075
60196;WOS:000439259000075
538;WOS:000439259000075
37782;WOS:000439259000075
37785;WOS:000439259000075
37781;WOS:000439259000075
42830;WOS:000439259000075
42830;WOS:000439259000074
37785;WOS:000439259000074
37781;WOS:000439259000074
37782;WOS:000439259000074
60196;WOS:000439259000074
68585;WOS:000439259000074
538;WOS:000439259000074
538;WOS:000439259000073
37785;WOS:000439259000073
37782;WOS:000439259000073
37781;WOS:000439259000073
42830;WOS:000439259000073
60196;WOS:000439259000073
537867;WOS:000439259000054
537868;WOS:000439259000054
537869;WOS:000439259000054
1060352;WOS:000439259000020
1050745;WOS:000439259000020
1031004;WOS:000439259000020
1028936;WOS:000439259000020
1022890;WOS:000439259000020
1022892;WOS:000439259000020
1024330;WOS:000439259000020
1023874;WOS:000439259000020
1085412;WOS:000439259000020
1086465;WOS:000439259000020
1038763;WOS:000439259000020
1040757;WOS:000439259000020
544526;WOS:000439259000013
544470;WOS:000439259000013
549939;WOS:000439259000013
549941;WOS:000439259000013
549940;WOS:000439259000013
549942;WOS:000439259000013
549938;WOS:000439259000013
547403;WOS:000439259000013
534740;WOS:000439163300001
534741;WOS:000439163300001
402871;WOS:000439041100013
286907;WOS:000439041100012
462858;WOS:000439041100010
462862;WOS:000439041100010
462860;WOS:000439041100009
462861;WOS:000439041100009
534739;WOS:000439041100008
462859;WOS:000439041100007
462858;WOS:000439041100005
373089;WOS:000439041100005
825955;WOS:000439041100005
462856;WOS:000439041100004
462857;WOS:000439041100004
462855;WOS:000439041100002
462853;WOS:000439041100001
462852;WOS:000439040400012
462851;WOS:000439040400011
462850;WOS:000439040400010
154909;WOS:000439040400008
462849;WOS:000439040400005
462848;WOS:000439040400004
462847;WOS:000439040400003
335880;WOS:000439040400001
2069;WOS:000439039200003
42600;WOS:000439039200003
583019;WOS:000439039200001
583014;WOS:000439039200001
604661;WOS:000439039200001
467021;WOS:000438963000005
467626;WOS:000438963000005
242917;WOS:000438838500073
602201;WOS:000438838500057
1087886;WOS:000438838500057
558654;WOS:000438838500020
647867;WOS:000438838500020
534738;WOS:000438838500009
518100;WOS:000438838500009
467137;WOS:000438838500009
504274;WOS:000438838500009
274887;WOS:000438838500004
556640;WOS:000438838500002
616393;WOS:000438633300006
707605;WOS:000438459700013
896033;WOS:000438459700012
607413;WOS:000438459700011
858285;WOS:000438459700010
696674;WOS:000438459700009
896032;WOS:000438459700008
886383;WOS:000438459700007
896031;WOS:000438459700006
825274;WOS:000438459700004
735369;WOS:000438459700003
896030;WOS:000438459700002
896029;WOS:000438459700001
793578;WOS:000438459600012
896028;WOS:000438459600011
793577;WOS:000438459600010
839710;WOS:000438459600009
1022859;WOS:000438459600008
861108;WOS:000438459600007
896027;WOS:000438459600006
1011024;WOS:000438459600005
1011023;WOS:000438459600005
892474;WOS:000438459600004
896026;WOS:000438459600001
490779;WOS:000438289100014
468520;WOS:000438289100014
476033;WOS:000438289100014
477039;WOS:000438289100014
471951;WOS:000438289100014
471952;WOS:000438289100014
471954;WOS:000438289100014
483877;WOS:000438289100014
1093236;WOS:000438289100013
1093235;WOS:000438289100013
1087334;WOS:000438289100013
1087332;WOS:000438289100013
